,Open,High,Low,Close,Volume
2014-01-01,384.1130979203178,390.91894496074974,381.6914629519633,385.0,9751543.94860484
2014-01-02,384.47018330517255,390.3554780435528,384.83303430324366,388.7320732284475,18136625.258141562
2014-01-03,389.41106912691686,392.2932240930034,387.3272758133593,388.12080119559977,21296297.739413958
2014-01-06,388.37555209054364,394.70069469572445,389.73230445677683,392.92382944147454,14925338.636487119
2014-01-07,392.7272421758905,405.779288647495,403.64379593769405,403.96456122797736,14158100.953137247
2014-01-08,403.9500219834521,405.76070591324606,401.56225945621395,402.6148161036937,13382824.636909468
2014-01-09,401.4352477381589,402.2936782326051,397.1804973314613,401.273680864611,17790680.944787707
2014-01-10,399.4753228657967,413.92286246695903,410.587254209956,412.93966890970603,5468424.677763337
2014-01-13,413.84066683759204,420.5496537053572,415.0175437810843,418.8769429169582,10378210.287037937
2014-01-14,419.74958312287714,419.7707827926708,412.4351428209716,415.71623732451417,13155584.36702737
2014-01-15,417.69704157361986,422.9068437144083,419.11927157919826,420.018783683697,32921414.917628415
2014-01-16,419.02449634483247,419.15613375013993,413.6707178066329,416.8926619840323,11982711.910949005
2014-01-17,417.7600518149349,415.73600833216136,413.532377913544,413.78122270093246,19699747.705051716
2014-01-20,413.429194980279,417.6741970546835,409.06393237916114,415.861536076402,20158844.66670156
2014-01-21,417.3494096773711,406.68163382821587,402.3031992265333,402.3578483020324,34443834.45883551
2014-01-22,403.5933254834191,393.93532264914546,387.95479278198013,390.6208930218372,33840572.80235272
2014-01-23,390.8684798649753,389.04882788148325,386.43659589806805,387.1126379782616,17489842.31905956
2014-01-24,386.71852948605317,382.4517951436724,376.2611795709562,380.60869265452425,14191304.065995904
2014-01-27,381.70749312333965,389.3516755611219,380.7927662861738,383.09571236138487,12915849.575809397
2014-01-28,383.83991331575265,379.516800319964,375.5250340220625,377.36961658804427,15956083.1727833
2014-01-29,376.5955505267991,372.24656533519135,363.6184658155463,368.4522682285569,14488497.818452815
2014-01-30,366.9874962498576,381.85128709849226,375.40761320533807,378.5024702774679,23740571.509246927
2014-01-31,378.1749807881612,379.1782734348058,373.18435552556645,377.37314714584284,22209645.280979957
2014-02-03,379.09268233744314,382.97336410625036,377.40570698248564,378.2044916539126,24198057.30938633
2014-02-04,379.50755105980784,372.6205918395842,369.03159281239795,369.1899389914028,33784888.39515695
2014-02-05,367.96001192321575,370.098531071445,362.8898853936982,366.05377890271944,45686658.493628085
2014-02-06,364.77363651083766,378.7598029448559,364.9378231812346,367.1727751754286,19157675.689209677
2014-02-07,368.5795508721777,361.8088980610657,355.95108415662713,360.18637455446117,31190190.66425057
2014-02-10,358.9613407898226,369.6584370430975,360.2681379423711,362.99808291493935,15097688.701497324
2014-02-11,363.5531265069808,361.835954824426,356.2603992131146,359.5794803594897,32553186.183558147
2014-02-12,358.91551442152104,361.6319327440975,357.52601298521495,358.14929848295895,30603865.866465498
2014-02-13,359.890950076666,357.52570006207225,347.9261065657501,354.7843077824814,29802126.286671534
2014-02-14,353.96525079264103,369.00936386505083,364.43309971088433,367.0074914086903,18866854.993746925
2014-02-17,368.26851962996415,369.01436306951257,362.8554886203699,367.3316160435926,12886660.104631353
2014-02-18,367.5353858256884,364.54785653866503,359.86980632413633,360.94667266701015,8963022.825099126
